Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R003F023M0,R003F023M1,R0R0,0.2647,-0.1721,-0.1965,0.344,0.796,0.1748,0.2664
R003F024M0,R003F024M1,R0R0,0.2581,0.1878,0.0428,0.2164,0.0198,-0.1756,0.401
R003F025M0,R003F025M1,R0R0,0,-0.0322,0.0428,-0.0255,-0.1107,0.0661,0
R003F026M0,R003F026M1,R0R0,0.6008,0.7776,0.7607,0.7858,0.3725,0.7425,0.6964
R003F027M0,R003F027M1,R0R0,0.5,0.4869,0.4017,0.414,0.2914,0.3632,0.5
R003F028M0,R003F028M1,R0R0,0.2984,0.482,0.5214,0.1585,0.2934,0.1486,0.3253
R003F029M0,R003F029M1,R0R0,0.1548,-0.2509,-0.3162,0.1021,0.2135,-0.0924,0.2723
R003F030M0,R003F030M1,R0R0,0.5,0.4815,0.4017,0.4201,0.4093,0.474,0.5
R003F031M0,R003F031M1,R0R0,0.022,0.2064,0.1624,0.0359,-0.0627,0.0629,0.0453
R003F032M0,R003F032M1,R0R0,0.3408,0.6107,0.641,0.1928,0.1882,0.2795,0.4227
R003F033M0,R003F033M1,R0R0,0.0955,-0.0808,-0.0769,0.1387,-0.0647,-0.0017,0.0963
R003F034M0,R003F034M1,R0R0,0.2,0.5205,0.5214,0.5872,0.1933,0.1692,0.3093
R003F035M0,R003F035M1,R0R0,0,-0.3124,-0.4358,-0.0234,0.0131,-0.0856,0
R003F036M0,R003F036M1,R0R0,0.5,0.36,0.4017,0.4635,0.3516,0.3993,0.5
R003F037M0,R003F037M1,R0R0,0.5,0.3143,0.2821,0.159,0.1778,0.4182,0.5
R003F038M0,R003F038M1,R0R0,0.2259,0.4799,0.2821,0.0963,0.1519,0.3708,0.2937
R003F039M0,R003F039M1,R0R0,0.2631,0.3516,0.4017,0.6435,0.5674,0.3443,0.5
R003F040M0,R003F040M1,R0R0,0.483,0.4559,0.4017,0.409,0.208,0.2423,0.483
R003F041M0,R003F041M1,R0R0,0.4481,0.345,0.2821,0.4004,0.2222,0.362,0.4481
R003F042M0,R003F042M1,R0R0,0.1824,0.1218,0.1624,0.2528,0.224,0.2655,0.2487
R003F043M0,R003F043M1,R0R0,0.1574,-0.2451,-0.1965,0.2963,0.304,-0.2044,0.1574
R003F044M0,R003F044M1,R0R0,0,-0.1399,-0.0769,-0.1464,-0.2037,-0.1451,0
R003F045M0,R003F045M1,R0R0,0.6,0.73,0.7607,0.5976,0.4683,0.7638,0.6387
R003F046M0,R003F046M1,R0R0,0.0643,-0.4801,-0.4358,0.3686,0.1041,-0.3847,0.1321
R003F047M0,R003F047M1,R0R0,0.0568,-0.0044,-0.0769,0.0372,0.1507,0.0876,0.0568
